"id","m_element","meaning"
"6589","定","decide"
"6590","帝","sovereign"
"6591","帝","the emperor"
"6592","帝","god"
"6593","帝","creator"
"6594","底","bottom"
"6595","底","sole"
"6596","底","depth"
"6597","底","bottom price"
"6598","底","base"
"6599","底","kind"
"6600","底","sort"
"6601","庭","courtyard"
"6602","庭","garden"
"6603","庭","yard"
"6604","廷","courts"
"6605","廷","imperial court"
"6606","廷","government office"
"6607","弟","younger brother"
"6608","弟","faithful service to elders"
"6609","悌","serving our elders"
"6610","抵","resist"
"6611","抵","reach"
"6612","抵","touch"
"6613","挺","bravely volunteer"
"6614","挺","counter for guns, inksticks, palanquins, rickshaws"
"6615","提","propose"
"6616","提","take along"
"6617","提","carry in hand"
"6618","梯","ladder"
"6619","梯","stairs"
"6620","梯","insatiable drinking"
"6621","汀","water's edge"
"6622","汀","shore"
"6623","汀","bank"
"6624","碇","anchor"
"6625","碇","grapnel"
"6626","禎","happiness"
"6627","禎","blessed"
"6628","禎","good fortune"
"6629","禎","auspicious"
"6630","程","extent"
"6631","程","degree"
"6632","程","law"
"6633","程","formula"
"6634","程","distance"
"6635","程","limits"
"6636","程","amount"
"6637","締","tighten"
"6638","締","tie"
"6639","締","shut"
"6640","締","lock"
"6641","締","fasten"
"6642","艇","rowboat"
"6643","艇","small boat"
"6644","訂","revise"
"6645","訂","correct"
"6646","訂","decide"
"6647","諦","truth"
"6648","諦","clarity"
"6649","諦","abandon"
"6650","諦","give up"
"6651","蹄","hoof"
"6652","逓","relay"
"6653","逓","in turn"
"6654","逓","sending"
"6655","邸","residence"
"6656","邸","mansion"
"6657","鄭","an ancient Chinese province"
"6658","釘","nail"
"6659","釘","tack"
"6660","釘","peg"
"6661","鼎","three legged kettle"
"6662","泥","mud"
"6663","泥","mire"
"6664","泥","adhere to"
"6665","泥","be attached to"
"6666","摘","pinch"
"6667","摘","pick"
"6668","摘","pluck"
"6669","摘","trim"
"6670","摘","clip"
"6671","摘","summarize"
"6672","擢","excel in"
"6673","擢","surpass"
"6674","擢","pull out"
"6675","擢","select"
"6676","敵","enemy"
"6677","敵","foe"
"6678","敵","opponent"
"6679","滴","drip"
"6680","滴","drop"
"6681","的","bull's eye"
"6682","的","mark"
"6683","的","target"
"6684","的","object"
"6685","的","adjective ending"
"6686","笛","flute"
"6687","笛","clarinet"
"6688","笛","pipe"
"6689","笛","whistle"
"6690","笛","bagpipe"
"6691","笛","piccolo"
"6692","適","suitable"
"6693","適","occasional"
"6694","適","rare"
"6695","適","qualified"
"6696","適","capable"
"6697","鏑","arrowhead"
"6698","溺","drown"
"6699","溺","indulge"
"6700","哲","philosophy"
"6701","哲","clear"
"6702","徹","penetrate"
"6703","徹","clear"
"6704","徹","pierce"
"6705","徹","strike home"
"6706","徹","sit up (all night)"
"6707","撤","remove"
"6708","撤","withdraw"
"6709","撤","disarm"
"6710","撤","dismantle"
"6711","撤","reject"
"6712","撤","exclude"
"6713","轍","rut"
"6714","轍","wheel track"
"6715","迭","transfer"
"6716","迭","alternation"
"6717","鉄","iron"
"6718","典","code"
"6719","典","ceremony"
"6720","典","law"
"6721","典","rule"
"6722","填","fill in"
"6723","天","heavens"
"6724","天","sky"
"6725","天","imperial"
"6726","展","unfold"
"6727","展","expand"
"6728","店","store"
"6729","店","shop"
"6730","添","annexed"
"6731","添","accompany"
"6732","添","marry"
"6733","添","suit"
"6734","添","meet"
"6735","添","satisfy"
"6736","添","attach"
"6737","添","append"
"6738","添","garnish"
"6739","添","imitate"
"6740","纏","wear"
"6741","纏","wrap"
"6742","纏","tie"
"6743","纏","follow around"
"6744","纏","collect"
"6745","甜","sweet"
"6746","貼","stick"
"6747","貼","paste"
"6748","貼","apply"
"6749","転","revolve"
"6750","転","turn around"
"6751","転","change"
"6752","顛","overturn"
"6753","顛","summit"
"6754","顛","origin"
"6755","点","spot"
"6756","点","point"
"6757","点","mark"
"6758","点","speck"
"6759","点","decimal point"
"6760","伝","transmit"
"6761","伝","go along"
"6762","伝","walk along"
"6763","伝","follow"
"6764","伝","report"
"6765","伝","communicate"
"6766","伝","legend"
"6767","伝","tradition"
"6768","殿","Mr."
"6769","殿","hall"
"6770","殿","mansion"
"6771","殿","palace"
"6772","殿","temple"
"6773","殿","lord"
"6774","澱","sediment"
"6775","澱","grounds"
"6776","澱","dregs"
"6777","澱","stagnant"
"6778","田","rice field"
"6779","田","rice paddy"
"6780","電","electricity"
"6781","兎","rabbit"
"6782","兎","hare"
"6783","吐","spit"
"6784","吐","vomit"
"6785","吐","belch"
"6786","吐","confess"
"6787","吐","tell (lies)"
"6788","堵","fence"
"6789","堵","railing"
"6790","堵","enclosure"
"6791","塗","paint"
"6792","塗","plaster"
"6793","塗","daub"
"6794","塗","smear"
"6795","塗","coating"
"6796","妬","jealous"
"6797","妬","envy"
"6798","屠","slaughter"
"6799","屠","butcher"
"6800","屠","slay"
"6801","徒","on foot"
"6802","徒","junior"
"6803","徒","emptiness"
"6804","徒","vanity"
"6805","徒","futility"
"6806","徒","uselessness"
"6807","徒","ephemeral thing"
"6808","徒","gang"
"6809","徒","set"
"6810","徒","party"
"6811","徒","people"
"6812","斗","Big Dipper"
"6813","斗","ten sho (vol)"
"6814","斗","sake dipper"
"6815","斗","dots and cross radical (no. 68)"
"6816","杜","woods"
"6817","杜","grove"
"6818","渡","transit"
"6819","渡","ford"
"6820","渡","ferry"
"6821","渡","cross"
"6822","渡","import"
"6823","渡","deliver"
"6824","渡","diameter"
"6825","渡","migrate"
"6826","登","ascend"
"6827","登","climb up"
"6828","菟","dodder (plant)"
"6829","賭","gamble"
"6830","賭","wager"
"6831","賭","bet"
"6832","途","route"
"6833","途","way"
"6834","途","road"
"6835","都","metropolis"
"6836","都","capital"
"6837","都","all"
"6838","都","everything"
"6839","鍍","plating"
"6840","鍍","gilding"
"6841","砥","whetstone"
"6842","砥","grindstone"
"6843","砺","whetstone"
"6844","砺","polish"
"6845","努","toil"
"6846","努","diligent"
"6847","努","as much as possible"
"6848","度","degrees"
"6849","度","occurrence"
"6850","度","time"
"6851","度","counter for occurrences"
"6852","度","consider"
"6853","度","attitude"
"6854","土","soil"
"6855","土","earth"
"6856","土","ground"
"6857","土","Turkey"
"6858","奴","guy"
"6859","奴","slave"
"6860","奴","manservant"
"6861","奴","fellow"
"6862","怒","angry"
"6863","怒","be offended"
"6864","倒","overthrow"
"6865","倒","fall"
"6866","倒","collapse"
"6867","倒","drop"
"6868","倒","break down"
"6869","党","party"
"6870","党","faction"
"6871","党","clique"
"6872","冬","winter"
"6873","凍","frozen"
"6874","凍","congeal"
"6875","凍","refrigerate"
"6876","刀","sword"
"6877","刀","saber"
"6878","刀","knife"
"6879","唐","T'ang"
"6880","唐","China"
"6881","唐","foreign"
"6882","塔","pagoda"
"6883","塔","tower"
"6884","塔","steeple"
"6885","塘","dike"
"6886","塘","embankment"
"6887","套","accumulate"
"6888","套","big and long"
"6889","套","hackneyed"
"6890","宕","cave"
"6891","島","island"
"6892","嶋","island"
"6893","悼","lament"
"6894","悼","grieve over"
"6895","投","throw"
"6896","投","discard"
"6897","投","abandon"
"6898","投","launch into"
"6899","投","join"
"6900","投","invest in"
"6901","投","hurl"
"6902","投","give up"
"6903","投","sell at a loss"
"6904","搭","board"
"6905","搭","load (a vehicle)"
"6906","搭","ride"
"6907","東","east"
"6908","桃","peach"
"6909","梼","block of wood"
"6910","梼","blockhead"
"6911","梼","stupid"
"6912","棟","ridgepole"
"6913","棟","ridge"
"6914","盗","steal"
"6915","盗","rob"
"6916","盗","pilfer"
"6917","淘","select"
"6918","湯","hot water"
"6919","湯","bath"
"6920","湯","hot spring"
"6921","涛","waves"
"6922","涛","billows"
"6923","灯","lamp"
"6924","灯","a light"
"6925","灯","light"
"6926","灯","counter for lights"
"6927","燈","lamp"
"6928","燈","light"
"6929","燈","counter for lights"
"6930","当","hit"
"6931","当","right"
"6932","当","appropriate"
"6933","当","himself"
"6934","痘","pox"
"6935","痘","smallpox"
"6936","祷","pray"
"6937","等","etc."
"6938","等","and so forth"
"6939","等","class (first)"
"6940","等","quality"
"6941","等","equal"
"6942","等","similar"
"6943","答","solution"
"6944","答","answer"
"6945","筒","cylinder"
"6946","筒","pipe"
"6947","筒","tube"
"6948","筒","gun barrel"
"6949","筒","sleeve"
"6950","糖","sugar"
"6951","統","overall"
"6952","統","relationship"
"6953","統","ruling"
"6954","統","governing"
"6955","到","arrival"
"6956","到","proceed"
"6957","到","reach"
"6958","到","attain"
"6959","到","result in"
"6960","董","correct"
"6961","蕩","melt"
"6962","蕩","be charmed"
"6963","蕩","captivated"
"6964","藤","wisteria"
"6965","討","chastise"
"6966","討","attack"
"6967","討","defeat"
"6968","討","destroy"
"6969","討","conquer"
"6970","謄","mimeograph"
"6971","謄","copy"
"6972","豆","beans"
"6973","豆","pea"
"6974","豆","midget"
"6975","踏","step"
"6976","踏","trample"
"6977","踏","carry through"
"6978","踏","appraise"
"6979","踏","evade payment"
"6980","逃","escape"
"6981","逃","flee"
"6982","逃","shirk"
"6983","逃","evade"
"6984","逃","set free"
"6985","透","transparent"
"6986","透","permeate"
"6987","透","filter"
"6988","透","penetrate"
"6989","鐙","stirrup"
"6990","陶","pottery"
"6991","陶","porcelain"
"6992","頭","head"
"6993","頭","counter for large animals"
"6994","騰","leaping up"
"6995","騰","jumping up"
"6996","騰","rising"
"6997","騰","advancing"
"6998","騰","going"
"6999","闘","fight"
"7000","闘","war"
"7001","働","work"
"7002","働","(kokuji)"
"7003","動","move"
"7004","動","motion"
"7005","動","change"
"7006","動","confusion"
"7007","動","shift"
"7008","動","shake"
"7009","同","same"
"7010","同","agree"
"7011","同","equal"
"7012","堂","public chamber"
"7013","堂","hall"
"7014","導","guidance"
"7015","導","leading"
"7016","導","conduct"
"7017","導","usher"
"7018","憧","yearn after"
"7019","憧","long for"
"7020","憧","aspire to"
"7021","憧","admire"
"7022","憧","adore"
"7023","撞","thrust"
"7024","撞","pierce"
"7025","撞","stab"
"7026","撞","prick"
"7027","洞","den"
"7028","洞","cave"
"7029","洞","excavation"
"7030","瞳","pupil (of eye)"
"7031","童","juvenile"
"7032","童","child"
"7033","胴","trunk"
"7034","胴","torso"
"7035","胴","hull (ship)"
"7036","胴","hub of wheel"
"7037","萄","grape vine"
"7038","萄","wild grape"
"7039","道","road-way"
"7040","道","street"
"7041","道","district"
"7042","道","journey"
"7043","道","course"
"7044","道","moral"
"7045","道","teachings"
"7046","銅","copper"
"7047","峠","mountain peak"
"7048","峠","mountain pass"
"7049","峠","climax"
"7050","峠","crest"
"7051","峠","(kokuji)"
"7052","鴇","wild goose"
"7053","鴇","madam of a brothel"
"7054","鴇","crested ibis"
"7055","匿","hide"
"7056","匿","shelter"
"7057","匿","shield"
"7058","得","gain"
"7059","得","get"
"7060","得","find"
"7061","得","earn"
"7062","得","acquire"
"7063","得","can"
"7064","得","may"
"7065","得","able to"
"7066","得","profit"
"7067","得","advantage"
"7068","得","benefit"
"7069","徳","benevolence"
"7070","徳","virtue"
"7071","徳","goodness"
"7072","徳","commanding respect"
"7073","涜","defile"
"7074","涜","blaspheme"
"7075","涜","ditch"
"7076","特","special"
"7077","督","coach"
"7078","督","command"
"7079","督","urge"
"7080","督","lead"
"7081","督","supervise"
"7082","禿","become bald"
"7083","禿","bare"
"7084","禿","wear out"
"7085","禿","waste away"
"7086","禿","little girl employed at a brothel"
"7087","篤","fervent"
"7088","篤","kind"
"7089","篤","cordial"
"7090","篤","serious"
"7091","篤","deliberate"
"7092","毒","poison"
"7093","毒","virus"
"7094","毒","venom"
"7095","毒","germ"
"7096","毒","harm"
"7097","毒","injury"
"7098","毒","spite"
"7099","独","single"
"7100","独","alone"
"7101","独","spontaneously"
"7102","独","Germany"
"7103","読","read"
"7104","栃","horse chestnut"
"7105","栃","(kokuji)"
"7106","橡","horse chestnut"
"7107","凸","convex"
"7108","凸","beetle brow"
"7109","凸","uneven"
"7110","突","stab"
"7111","突","protruding"
"7112","突","thrust"
"7113","突","pierce"
"7114","突","prick"
"7115","突","collision"
"7116","突","sudden"
"7117","椴","fir"
"7118","届","deliver"
"7119","届","reach"
"7120","届","arrive"
"7121","届","report"
"7122","届","notify"
"7123","届","forward"
"7124","鳶","black kite"
"7125","鳶","fireman"
"7126","鳶","hook"
"7127","苫","rush matting"
"7128","寅","sign of the tiger"
"7129","寅","3-5AM"
"7130","寅","third sign of Chinese zodiac"
"7131","酉","west"
"7132","酉","bird"
"7133","酉","sign of the bird"
"7134","酉","5-7PM"
"7135","酉","tenth sign of Chinese zodiac"
"7136","酉","sake radical (no. 164)"
"7137","瀞","pure water"
"7138","瀞","clear water"
"7139","瀞","pool in a river"
"7140","噸","tonnage"
"7141","噸","(kokuji)"
"7142","屯","barracks"
"7143","屯","police station"
"7144","屯","camp"
"7145","屯","ton"
"7146","惇","sincere"
"7147","惇","kind"
"7148","惇","considerate"
"7149","敦","industry"
"7150","敦","kindliness"
"7151","沌","primeval chaos"
"7152","豚","pork"
"7153","豚","pig"
"7154","遁","flee"
"7155","遁","escape"
"7156","遁","shirk"
"7157","遁","evade"
"7158","遁","set free"
"7159","頓","suddenly"
"7160","頓","immediately"
"7161","頓","in a hurry"
"7162","頓","arrange"
"7163","頓","stay in place"
"7164","頓","bow"
"7165","頓","kowtow"
"7166","呑","drink"
"7167","曇","cloudy weather"
"7168","曇","cloud up"
"7169","鈍","dull"
"7170","鈍","slow"
"7171","鈍","foolish"
"7172","鈍","blunt"
"7173","奈","Nara"
"7174","奈","what?"
"7175","那","what?"
"7176","内","inside"
"7177","内","within"
"7178","内","between"
"7179","内","among"
"7180","内","house"
"7181","内","home"
"7182","乍","though"
"7183","乍","notwithstanding"
"7184","乍","while"
"7185","乍","during"
"7186","乍","both"
"7187","乍","all"
"7188","凪","lull"
"7189","凪","calm"
"7190","凪","(kokuji)"
"7191","薙","mow down (the enemy)"
"7192","謎","riddle"
"7193","謎","puzzle"
"7194","謎","enigma"
"7195","謎","hint"
"7196","謎","tip"
"7197","灘","open sea"
"7198","捺","press"
"7199","捺","print"
"7200","捺","affix a seal"
"7201","捺","stamp"
"7202","鍋","pot"
"7203","鍋","pan"
"7204","鍋","kettle"
"7205","楢","oak"
"7206","馴","get used to"
"7207","馴","experienced"
"7208","馴","tamed"
"7209","縄","straw rope"
"7210","縄","cord"
"7211","畷","rice field ridge path"
"7212","南","south"
"7213","楠","camphor tree"
"7214","軟","soft"
"7215","難","difficult"
"7216","難","impossible"
"7217","難","trouble"
"7218","難","accident"
"7219","難","defect"
"7220","汝","you"
"7221","汝","thou"
"7222","二","two"
"7223","二","two radical (no. 7)"
"7224","尼","nun"
"7225","弐","II"
"7226","弐","two"
"7227","弐","second"
"7228","迩","approach"
"7229","迩","near"
"7230","迩","close"
"7231","匂","fragrant"
"7232","匂","stink"
"7233","匂","glow"
"7234","匂","insinuate"
"7235","匂","(kokuji)"
"7236","賑","flourish"
"7237","賑","be bustling"
"7238","賑","prosperity"
"7239","肉","meat"
"7240","虹","rainbow"
"7241","廿","twenty"
"7242","日","day"
"7243","日","sun"
"7244","日","Japan"
"7245","日","counter for days"
"7246","乳","milk"
"7247","乳","breasts"
"7248","入","enter"
"7249","入","insert"
"7250","如","likeness"
"7251","如","like"
"7252","如","such as"
"7253","如","as if"
"7254","如","better"
"7255","如","best"
"7256","如","equal"
"7257","尿","urine"
"7258","韮","leek"
"7259","任","responsibility"
"7260","任","duty"
"7261","任","term"
"7262","任","entrust to"
"7263","任","appoint"
"7264","妊","pregnancy"
"7265","忍","endure"
"7266","忍","bear"
"7267","忍","put up with"
"7268","忍","conceal"
"7269","忍","secrete"
"7270","忍","spy"
"7271","忍","sneak"
"7272","認","acknowledge"
"7273","認","witness"
"7274","認","discern"
"7275","認","recognize"
"7276","認","appreciate"
"7277","認","believe"
"7278","濡","get wet"
"7279","濡","damp"
"7280","濡","make love"
"7281","禰","ancestral shrine"
"7282","祢","ancestral shrine"
"7283","寧","rather"
"7284","寧","preferably"
"7285","寧","peaceful"
"7286","寧","quiet"
"7287","寧","tranquility"
"7288","葱","stone leek"
"7289","葱","Welsh onion"
"7290","猫","cat"
"7291","熱","heat"
"7292","熱","temperature"
"7293","熱","fever"
"7294","熱","mania"
"7295","熱","passion"
"7296","年","year"
"7297","年","counter for years"
"7298","念","wish"
"7299","念","sense"
"7300","念","idea"
"7301","念","thought"
"7302","念","feeling"
"7303","念","desire"
"7304","念","attention"
"7305","捻","twirl"
"7306","捻","twist"
"7307","捻","play with"
"7308","撚","twist"
"7309","撚","twine"
"7310","撚","kinky"
"7311","燃","burn"
"7312","燃","blaze"
"7313","燃","glow"
"7314","粘","sticky"
"7315","粘","glutinous"
"7316","粘","greasy"
"7317","粘","persevere"
"7318","乃","from"
"7319","乃","possessive particle"
"7320","乃","whereupon"
"7321","乃","accordingly"
"7322","廼","in other words"
"7323","廼","thou"
"7324","廼","you"
"7325","廼","possessive particle"
"7326","之","of"
"7327","之","this"
"7328","埜","open country"
"7329","埜","field"
"7330","埜","wilderness"
"7331","嚢","pouch"
"7332","嚢","purse"
"7333","嚢","bag"
"7334","悩","trouble"
"7335","悩","worry"
"7336","悩","in pain"
"7337","悩","distress"
"7338","悩","illness"
"7339","濃","concentrated"
"7340","濃","thick"
"7341","濃","dark"
"7342","濃","undiluted"
"7343","納","settlement"
"7344","納","obtain"
"7345","納","reap"
"7346","納","pay"
"7347","納","supply"
"7348","納","store"
"7349","能","ability"
"7350","能","talent"
"7351","能","skill"
"7352","能","capacity"
"7353","脳","brain"
"7354","脳","memory"
"7355","膿","pus"
"7356","膿","fester"
"7357","膿","discharge"
"7358","農","agriculture"
"7359","農","farmers"
"7360","覗","peep"
"7361","覗","peek"
"7362","覗","come in sight"
"7363","蚤","flea"
"7364","巴","comma-design"
"7365","把","grasp"
"7366","把","faggot"
"7367","把","bunch"
"7368","把","counter for bundles"
"7369","播","plant"
"7370","播","sow"
"7371","覇","hegemony"
"7372","覇","supremacy"
"7373","覇","leadership"
"7374","覇","champion"
"7375","杷","kind of rake"
"7376","杷","loquat"
"7377","波","waves"
"7378","波","billows"
"7379","波","Poland"
"7380","派","faction"
"7381","派","group"
"7382","派","party"
"7383","派","clique"
"7384","派","sect"
"7385","派","school"
"7386","琶","lute"
"7387","破","rend"
"7388","破","rip"
"7389","破","tear"
"7390","破","break"
"7391","破","destroy"
"7392","破","defeat"
"7393","破","frustrate"
"7394","婆","old woman"
"7395","婆","grandma"
"7396","婆","wet nurse"
"7397","罵","abuse"
"7398","罵","insult"
"7399","芭","banana"
"7400","馬","horse"
"7401","俳","haiku"
"7402","俳","actor"
"7403","廃","abolish"
"7404","廃","obsolete"
"7405","廃","cessation"
"7406","廃","discarding"
"7407","廃","abandon"
"7408","拝","worship"
"7409","拝","adore"
"7410","拝","pray to"
"7411","排","repudiate"
"7412","排","exclude"
"7413","排","expel"
"7414","排","reject"
"7415","排","line up"
"7416","排","arrange"
"7417","敗","failure"
"7418","敗","defeat"
"7419","敗","reversal"
"7420","杯","counter for cupfuls"
"7421","杯","wine glass"
"7422","杯","glass"
"7423","杯","toast"
"7424","盃","glass"
"7425","盃","cup"
"7426","牌","label"
"7427","牌","signboard"
"7428","牌","medal"
"7429","牌","mahjong tiles"
"7430","背","stature"
"7431","背","height"
"7432","背","back"
"7433","背","behind"
"7434","背","disobey"
"7435","背","defy"
"7436","背","go back on"
"7437","背","rebel"
"7438","肺","lungs"
"7439","輩","comrade"
"7440","輩","fellow"
"7441","輩","people"
"7442","輩","companions"
"7443","配","distribute"
"7444","配","spouse"
"7445","配","exile"
"7446","配","rationing"
"7447","倍","double"
"7448","倍","twice"
"7449","倍","times"
"7450","倍","fold"
"7451","培","cultivate"
"7452","培","foster"
"7453","媒","mediator"
"7454","媒","go-between"
"7455","梅","plum"
"7456","楳","plum"
"7457","煤","soot"
"7458","煤","smoke dried"
"7459","狽","wolf"
"7460","狽","be flurried"
"7461","買","buy"
"7462","売","sell"
"7463","賠","compensation"
"7464","賠","indemnify"
"7465","陪","obeisance"
"7466","陪","follow"
"7467","陪","accompany"
"7468","陪","attend on"
"7469","這","crawl"
"7470","這","creep"
"7471","這","grovel"
"7472","這","trail (vines)"
"7473","蝿","fly"
"7474","秤","balances"
"7475","秤","scales"
"7476","秤","steelyard"
"7477","矧","feather (arrow)"
"7478","萩","bush clover"
"7479","伯","chief"
"7480","伯","count"
"7481","伯","earl"
"7482","伯","uncle"
"7483","伯","Brazil"
"7484","剥","come off"
"7485","剥","peel"
"7486","剥","fade"
"7487","剥","discolor"
"7488","博","Dr."
"7489","博","command"
"7490","博","esteem"
"7491","博","win acclaim"
"7492","博","Ph.D."
"7493","博","exposition"
"7494","博","fair"
"7495","拍","clap"
"7496","拍","beat (music)"
"7497","柏","oak"
"7498","柏","cypress"
"7499","泊","overnight stay"
"7500","泊","put up at"
"7501","泊","ride at anchor"
"7502","白","white"
"7503","箔","foil"
"7504","箔","gilt"
"7505","粕","scrap"
"7506","粕","waste"
"7507","舶","liner"
"7508","舶","ship"
"7509","薄","dilute"
"7510","薄","thin"
"7511","薄","weak (tea)"
"7512","薄","pampas grass"
"7513","迫","urge"
"7514","迫","force"
"7515","迫","imminent"
"7516","迫","spur on"
"7517","曝","bleach"
"7518","曝","refine"
"7519","曝","expose"
"7520","曝","air"
"7521","漠","vague"
"7522","漠","obscure"
"7523","漠","desert"
"7524","漠","wide"
"7525","爆","bomb"
"7526","爆","burst open"
"7527","爆","pop"
"7528","爆","split"
"7529","縛","truss"
"7530","縛","arrest"
"7531","縛","bind"
"7532","縛","tie"
"7533","縛","restrain"
"7534","莫","must not"
"7535","莫","do not"
"7536","莫","be not"
"7537","駁","refutation"
"7538","駁","contradiction"
"7539","麦","barley"
"7540","麦","wheat"
"7541","函","box (archaic)"
"7542","箱","box"
"7543","箱","chest"
"7544","箱","case"
"7545","箱","bin"
"7546","箱","railway car"
"7547","硲","ravine"
"7548","硲","gorge"
"7549","硲","gap"
"7550","硲","(kokuji)"
"7551","箸","chopsticks"
"7552","肇","beginning"
"7553","筈","notch of an arrow"
"7554","筈","ought"
"7555","筈","must"
"7556","筈","should be"
"7557","筈","expected"
"7558","櫨","wax tree"
"7559","櫨","sumac"
"7560","幡","flag"
"7561","肌","texture"
"7562","肌","skin"
"7563","肌","body"
"7564","肌","grain"
"7565","畑","farm"
"7566","畑","field"
"7567","畑","garden"
"7568","畑","one's specialty"
"7569","畑","(kokuji)"
"7570","畠","field"
"7571","畠","farm"
"7572","畠","garden"
"7573","畠","(kokuji)"
"7574","八","eight"
"7575","八","eight radical (no. 12)"
"7576","鉢","bowl"
"7577","鉢","rice tub"
"7578","鉢","pot"
"7579","鉢","crown"
"7580","溌","sprinkle"
"7581","溌","lively"
"7582","溌","vigorous"
"7583","発","departure"
"7584","発","discharge"
"7585","発","publish"
"7586","発","emit"
"7587","発","start from"
"7588","発","disclose"
"7589","発","counter for gunshots"
"7590","醗","fermentation"
"7591","醗","brewing"
"7592","髪","hair of the head"
"7593","伐","fell"
"7594","伐","strike"
"7595","伐","attack"
"7596","伐","punish"
"7597","罰","penalty"
"7598","罰","punishment"
"7599","抜","slip out"
"7600","抜","extract"
"7601","抜","pull out"
"7602","抜","pilfer"
"7603","抜","quote"
"7604","抜","remove"
"7605","抜","omit"
"7606","筏","raft"
"7607","閥","clique"
"7608","閥","lineage"
"7609","閥","pedigree"
"7610","閥","faction"
"7611","閥","clan"
"7612","鳩","pigeon"
"7613","鳩","dove"
"7614","噺","talk"
"7615","噺","(kokuji)"
"7616","塙","projecting tableland or mountain"
"7617","蛤","clam"
"7618","隼","falcon"
"7619","伴","consort"
"7620","伴","accompany"
"7621","伴","bring with"
"7622","伴","companion"
"7623","判","judgement"
"7624","判","judgment"
"7625","判","signature"
"7626","判","stamp"
"7627","判","seal"
"7628","半","half"
"7629","半","middle"
"7630","半","odd number"
"7631","半","semi-"
"7632","半","part-"
"7633","反","anti-"
"7634","叛","disobey"
"7635","叛","defy"
"7636","叛","go back on"
"7637","叛","rebel"
"7638","叛","rebellion"
"7639","帆","sail"
"7640","搬","conveyor"
"7641","搬","carry"
"7642","搬","transport"
"7643","斑","spot"
"7644","斑","blemish"
"7645","斑","speck"
"7646","斑","patches"
"7647","板","plank"
"7648","板","board"
"7649","板","plate"
"7650","板","stage"
"7651","氾","spread out"
"7652","氾","wide"
"7653","汎","pan-"
"7654","版","printing block"
"7655","版","printing plate"
"7656","版","edition"
"7657","版","impression"
"7658","版","label"
"7659","犯","crime"
"7660","犯","sin"
"7661","犯","offense"
"7662","班","squad"
"7663","班","corps"
"7664","班","unit"
"7665","班","group"
"7666","畔","paddy ridge"
"7667","畔","levee"
"7668","繁","luxuriant"
"7669","繁","thick"
"7670","繁","overgrown"
"7671","繁","frequency"
"7672","繁","complexity"
"7673","繁","trouble"
"7674","般","carrier"
"7675","般","carry"
"7676","般","all"
"7677","般","general"
"7678","般","sort"
"7679","般","kind"
"7680","藩","clan"
"7681","藩","enclosure"
"7682","販","marketing"
"7683","販","sell"
"7684","販","trade"
"7685","範","pattern"
"7686","範","example"
"7687","範","model"
"7688","釆","separate"
"7689","釆","divide"
"7690","釆","topped rice radical (no. 165)"
"7691","煩","anxiety"
"7692","煩","trouble"
"7693","煩","worry"
"7694","煩","pain"
"7695","煩","ill"
"7696","煩","annoy"
"7697","煩","nuisance"
"7698","煩","irksome"
"7699","頒","distribute"
"7700","頒","disseminate"
"7701","頒","partition"
"7702","頒","understand"
"7703","飯","meal"
"7704","飯","boiled rice"
"7705","挽","saw"
"7706","挽","turn (lathe)"
"7707","挽","grind"
"7708","晩","nightfall"
"7709","晩","night"
"7710","番","turn"
"7711","番","number in a series"
"7712","盤","tray"
"7713","盤","shallow bowl"
"7714","盤","platter"
"7715","盤","tub"
"7716","盤","board"
"7717","盤","phonograph record"
"7718","磐","rock"
"7719","磐","crag"
"7720","磐","cliff"
"7721","磐","wall (in a mine)"
"7722","蕃","grow luxuriously"
"7723","蛮","barbarian"
"7724","匪","negation"
"7725","匪","wicked person"
"7726","卑","lowly"
"7727","卑","base"
"7728","卑","vile"
"7729","卑","vulgar"
"7730","卑","despise"
"7731","否","negate"
"7732","否","no"
"7733","否","noes"
"7734","否","refuse"
"7735","否","decline"
"7736","否","deny"
"7737","妃","queen"
"7738","妃","princess"
"7739","庇","protect"
"7740","庇","shield"
"7741","庇","defend"
"7742","庇","eaves"
"7743","庇","canopy"
"7744","庇","penthouse"
"7745","庇","visor"
"7746","彼","he"
"7747","彼","that"
"7748","彼","the"
"7749","悲","grieve"
"7750","悲","sad"
"7751","悲","deplore"
"7752","悲","regret"
"7753","扉","front door"
"7754","扉","title page"
"7755","扉","front page"
"7756","批","criticism"
"7757","批","strike"
"7758","披","expose"
"7759","披","open"
"7760","斐","beautiful"
"7761","斐","patterned"
"7762","比","compare"
"7763","比","race"
"7764","比","ratio"
"7765","比","Philippines"
"7766","泌","ooze"
"7767","泌","flow"
"7768","泌","soak in"
"7769","泌","penetrate"
"7770","泌","secrete"
"7771","疲","exhausted"
"7772","疲","tire"
"7773","疲","weary"
"7774","皮","pelt"
"7775","皮","skin"
"7776","皮","hide"
"7777","皮","leather"
"7778","皮","skin radical (no. 107)"
"7779","碑","tombstone"
"7780","碑","monument"
"7781","秘","secret"
"7782","秘","conceal"
"7783","緋","scarlet"
"7784","緋","cardinal"
"7785","罷","quit"
"7786","罷","stop"
"7787","罷","leave"
"7788","罷","withdraw"
"7789","罷","go"
"7790","肥","fertilizer"
"7791","肥","get fat"
"7792","肥","fertile"
"7793","肥","manure"
"7794","肥","pamper"
"7795","被","incur"
"7796","被","cover"
"7797","被","veil"
"7798","被","brood over"
"7799","被","shelter"
"7800","被","wear"
